8b65222,songshu,9 days ago,update user fields
94991bf,songshu,9 days ago,duplicate check when adding a property
10d3b50,songshu,9 days ago,added price to User Property
20009b1,Lan Lin,10 days ago,enable add and edit inspection time in detail page
5270b52,Lan LIN,13 days ago,Merge pull request #6 from KatrinaaDing/ui-dialogs
e142bef,KatrinaaDing,13 days ago,solve coflict
c1471c1,KatrinaaDing,13 days ago,Merge pull request #5 from KatrinaaDing/interested_facilities
eb06e76,KatrinaaDing,13 days ago,add menu to property card
065d2ba,KatrinaaDing,13 days ago,implement properties adapter in test screen
9856135,Lan Lin,2 weeks ago,Merge branch 'develop' into interested_facilities
84b521e,Lan Lin,2 weeks ago,finish interested facilities distance design,adapter and connect with DistanceInfo
bef272a,KatrinaaDing,2 weeks ago,Merge branch 'develop' into ui-dialogs
be16005,KatrinaaDing,2 weeks ago,create property card adapter
8ba7e48,KatrinaaDing,2 weeks ago,update binding ref
69e9c68,KatrinaaDing,2 weeks ago,refine property card
8471997,KatrinaaDing,2 weeks ago,Merge pull request #4 from KatrinaaDing/db
18bbac2,Lan Lin,2 weeks ago,Merge branch 'db' into interested_facilities
97fbc38,songshu,2 weeks ago,modified callbasks onError()
c85ee88,KatrinaaDing,2 weeks ago,create a property card and amenities Group
60100b8,Lan Lin,2 weeks ago,delete useless custom carousel xml
4d264cb,Lan Lin,2 weeks ago,not finish DistanceAdapter, still need to check DistanceInfo
71156db,KatrinaaDing,2 weeks ago,add sample dialog to test screen
69f8bca,KatrinaaDing,2 weeks ago,create a basic dialog
5085022,KatrinaaDing,2 weeks ago,create test screen
53bb111,songshu,2 weeks ago,Merge branch 'db' of github.com:KatrinaaDing/COMP90018-Property-Management into db
3ecd3b5,songshu,2 weeks ago,added AddPropertyCallback
7656010,Lan Lin,2 weeks ago,design facilities_distance_item
7436081,Lan Lin,2 weeks ago,add info to property details
99f6392,Lan Lin,2 weeks ago,add info to property details
d9acad8,Qiao Chen,2 weeks ago,Update README.md
